year,谷物,油料,水果,蔬菜,坚果,纤维,畜产品,total
1961,25937152.0,801637.0,2499064.0,13837982.0,4590.0,0,0,43080425.0
1962,27626788.0,1031696.0,2369987.0,12650202.0,5270.0,0,0,43683943.0
1963,28813328.0,1072914.0,2545019.0,11322166.0,6922.0,0,0,43760349.0
1964,30984454.0,1213509.0,2571039.0,10130108.0,11266.0,0,0,44910376.0
1965,33618459.0,1032633.0,2741789.0,10661893.0,16548.0,0,0,48071322.0
1966,35420551.0,1147077.0,2916627.0,10713122.0,16012.0,0,0,50213389.0
1967,37524527.0,1180189.0,3075047.0,10937580.0,20326.0,0,0,52737669.0
1968,35127749.0,999947.0,3248661.0,11557921.0,28688.0,0,0,50962966.0
1969,35365211.0,1048035.0,3403008.0,12106840.0,39586.0,0,0,51962680.0
1970,38617466.0,1062951.0,3277398.0,9489548.0,42536.0,0,0,52489899.0
1971,40599000.0,1120796.0,3463185.0,10642637.0,24060.0,0,0,55849678.0
1972,39825526.0,1037068.0,4000594.0,9836985.0,34464.0,0,0,54734637.0
1973,40291560.0,1042033.0,4707402.0,11099870.0,45342.0,0,0,57186207.0
1974,44287290.0,935380.0,4638000.0,11207681.0,36244.0,0,0,61104595.0
1975,46591546.0,894129.0,4895782.0,11430608.0,36142.0,0,0,63848207.0
1976,49149847.0,1010497.0,5153983.0,11237560.0,44684.0,0,0,66596571.0
1977,41897548.0,1205327.0,5278912.0,11861055.0,46374.0,0,0,60289216.0
1978,52172441.0,1725573.0,6165169.0,13416464.0,54054.0,0,0,73533701.0
1979,57792928.0,2185844.0,6636142.0,12955798.0,52458.0,0,0,79623170.0
1980,50021431.0,2899917.0,6264125.0,12968355.0,96238.0,0,0,72250066.0
1981,53523680.0,4695081.0,7216437.0,14022114.0,122026.0,0,0,79579338.0
1982,59785635.0,4014865.0,6778626.0,14977787.0,71976.0,0,0,85628889.0
1983,69739351.0,4157402.0,8375430.0,15676536.0,40816.0,0,0,97989535.0
1984,73601509.0,5397678.0,8486299.0,16174472.0,91166.0,0,0,103751124.0
1985,68416568.0,6200747.0,9694416.0,16676419.0,90318.0,0,0,101078468.0
1986,68756298.0,5532889.0,9770790.0,16877903.0,96560.0,0,0,101034440.0
1987,67180006.0,4548367.0,11461391.0,17151995.0,91658.0,0,0,100433417.0
1988,67071309.0,3992968.0,12444644.0,17788106.0,131192.0,0,0,101428219.0
1989,68577154.0,3509502.0,12726426.0,18453374.0,156088.0,0,0,103422544.0
1990,75560487.0,4567824.0,12776013.0,20089401.0,139248.0,0,0,113132973.0
1991,86536841.0,5288036.0,16782863.0,24218583.0,101080.0,0,0,132927403.0
1992,93441497.0,5664450.0,21553171.0,24779978.0,133684.0,0,0,145572780.0
1993,96666790.0,5387812.0,26304267.0,30612553.0,99748.0,0,0,159071170.0
1994,91459069.0,5679501.0,31078667.0,35276742.0,151293.0,0,0,163645272.0
1995,97102466.0,5678055.0,39061882.0,39360412.0,106223.0,0,0,181309038.0
1996,105908997.0,5903907.0,49797104.0,45928860.0,218310.0,0,0,207757178.0
1997,111376297.0,5208310.0,52043954.0,48285130.0,221745.0,0,0,217135436.0
1998,98089985.0,6189268.0,56736752.0,49919779.0,159105.0,0,0,211094889.0
1999,98945974.0,7200803.0,63868158.0,55907568.0,180890.0,0,0,226103393.0
2000,84477121.0,7663800.0,65247872.0,68077643.0,215289.0,0,0,225681725.0
2001,79887630.0,6595940.0,68458273.0,73697722.0,223107.0,0,0,228862672.0
2002,77442196.0,8085856.0,74139148.0,81500056.0,205416.0,0,0,241372672.0
2003,75982227.0,6453682.0,81723777.0,87766882.0,230012.0,0,0,252156580.0
2004,83333052.0,6587357.0,92445045.0,102153868.0,290088.0,0,0,284809410.0
2005,87015977.0,7353331.0,100861356.0,108848892.0,302243.0,0,0,304381799.0
2006,95664755.0,7363671.0,112127791.0,121209839.0,256880.0,0,0,336622936.0
2007,99917615.0,5553977.0,121621671.0,144860005.0,261550.0,0,0,372214818.0
2008,105639403.0,7626384.0,138228690.0,167014311.0,288338.0,0,0,418797126.0
2009,111106338.0,8258725.0,145594857.0,181545873.0,307026.0,0,0,446812819.0
2010,113023181.0,9796067.0,162322175.0,186148562.0,334500.0,0,0,471624485.0
2011,120696914.0,11639168.0,182379428.0,204523744.0,368114.0,0,0,519607368.0
2012,125416355.0,12545336.0,193668719.0,228790194.0,411609.0,0,0,560832213.0
2013,131126873.0,13676190.0,197945760.0,228128018.0,449173.0,0,0,571326014.0
2014,137340135.0,13483415.0,189102842.0,225505491.0,453916.0,0,0,565885799.0
2015,143618853.0,13264872.0,180623088.0,243783242.0,447912.0,0,0,581737967.0
2016,142635367.0,12127691.0,180411385.0,262515201.0,383575.0,0,0,598073219.0
2017,138284494.0,14442052.0,190509096.0,262984783.0,364908.0,0,0,606585333.0
2018,136094724.0,12376013.0,196120289.0,276705175.0,355825.0,0,0,621652026.0
2019,146492763.0,13219148.0,245501461.0,309808879.0,308887.0,0,0,715331138.0
2020,142274584.0,10582121.0,246525659.0,287071893.0,338848.0,0,0,686793105.0
2021,150832227.0,10214241.0,234135081.0,302515249.0,359655.0,0,0,698056453.0
2022,153264834.0,8789628.0,259808692.0,337989694.0,374639.0,0,0,760227487.0
2023,150349517.0,10199556.0,281786321.0,315575317.0,370447.0,0,0,758281158.0
2024,154469754.0,9592146.0,307777815.0,363464542.0,325872.0,0,0,835630129.0
