year,per_capita_kg
1949,209.0
1950,239.4
1951,255.2
1952,285.2
1953,283.8
1954,281.3
1955,299.3
1956,306.8
1957,301.7
1958,299.5
1959,252.5
1960,217.3
1961,207.3
1962,229.5
1963,239.6
1964,256.6
1965,268.2
1966,287.1
1967,285.2
1968,266.2
1969,261.5
1970,289.1
1971,293.5
1972,275.9
1973,297.0
1974,303.0
1975,307.9
1976,305.5
1977,297.7
1978,316.6
1979,340.5
1980,324.8
1981,324.8
1982,348.7
1983,376.0
1984,390.3
1985,358.2
1986,364.2
1987,370.3
1988,354.9
1989,361.6
1990,390.3
1991,375.8
1992,377.8
1993,385.2
1994,371.4
1995,385.2
1996,412.2
1997,399.7
1998,410.6
1999,404.2
2000,364.7
2001,354.7
2002,355.8
2003,333.3
2004,361.2
2005,370.2
2006,378.9
2007,381.6
2008,402.4
2009,404.2
2010,417.0
2011,436.8
2012,452.1
2013,463.3
2014,467.6
2015,480.6
2016,477.6
2017,475.9
2018,471.5
2019,474.2
2020,474.2
2021,483.4
2022,486.3
2023,493.3
2024,501.8
2025,508.4
